"Rank","Title","Status","Study Results","Conditions","Interventions","Gender","Age","Phases","Enrollment","Completion Date","Locations","URL"
73,"Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial","Active, not recruiting","No Results Available","COVID-19","Drug: Decitabine|Other: Placebo Saline","All","18 Years and older   (Adult, Older Adult)","Phase 2","33","September 2023","Johns Hopkins University, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04482621"
74,"A Randomized Trial of GM-CSF in Patients With ALI/ARDS","Completed","Has Results","Respiratory Distress Syndrome, Adult","Drug: Placebo|Drug: GM-CSF","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2","132","June 2009","University of Colorado Health Sciences Center, Denver, Colorado, United States|Emory University, Atlanta, Georgia, United States|University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT00201409"
75,"Feasibility of Mid-frequency Ventilation in Newborns With RDS: Randomized Crossover Pilot Trial","Completed","No Results Available","Respiratory Distress Syndrome, Newborn","Procedure: Conventional Pressure Controlled SIMV|Other: Mid-frequency Ventilation","All","1 Hour to 7 Days   (Child)","Phase 1|Phase 2","12","May 2013","University of Alabama at Birmingham, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT01242462"
76,"Significance of Biological Markers in Patients With Acute Lung Injury/Acute Respiratory Disease","Completed","No Results Available","Respiratory Distress Syndrome, Adult","Procedure: Bronchoscopy","All","18 Years to 95 Years   (Adult, Older Adult)","Not Applicable","40","June 2009","Emory University, Atlanta, Georgia, United States|University of Michigan, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT00217880"
77,"COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19","Terminated","Has Results","Coronavirus Infection","Drug: Colchicine|Drug: Usual Care","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","21","July 31, 2020","Maimonides Medical Center, Brooklyn, New York, United States","https://ClinicalTrials.gov/show/NCT04363437"
78,"Intensive Nutrition in Acute Respiratory Distress Syndrome (ARDS): A Clinical Trial (INTACT)","Terminated","Has Results","Acute Lung Injury","Behavioral: intensive medical nutrition|Other: control","All","18 Years to 90 Years   (Adult, Older Adult)","Not Applicable","78","June 2013","Rush University Medical Center, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT01921101"
79,"Aerosolized Surfactant in Neonatal RDS","Completed","Has Results","Respiratory Distress Syndrome, Newborn","Drug: Surfactant","All","up to 24 Hours   (Child)","Phase 1|Phase 2","159","July 2020","Hutzel Women's Hospital, Detroit, Michigan, United States","https://ClinicalTrials.gov/show/NCT02294630"
80,"Safety and Efficacy of SCD in AKI or ARDS Patients Associated With COVID-19 Infections","Completed","No Results Available","AKI|ARDS|COVID","Device: SCD","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","22","July 21, 2021","University of Kentucky, Lexington, Kentucky, United States|University of Michigan, Ann Arbor, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States","https://ClinicalTrials.gov/show/NCT04395911"
81,"SILtuximab in Viral ARds (SILVAR) Study","Terminated","No Results Available","Acute Respiratory Distress Syndrome|Lung Diseases|Pneumonia|Respiratory Tract Infections|Respiratory Tract Disease","Drug: Siltuximab|Other: Normal Saline","All","12 Years to 65 Years   (Child, Adult, Older Adult)","Phase 3","555","April 1, 2021","Sparrow Clinical Research Institute, Lansing, Michigan, United States|Atrium Health, Charlotte, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04616586"
82,"Study of Descartes-30 in Acute Respiratory Distress Syndrome","Recruiting","No Results Available","Acute Respiratory Distress Syndrome|Covid19","Biological: Descartes 30","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","May 2024","University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|University of Maryland Medical Center Medical Center, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04524962"
83,"The Use of Exosomes for the Treatment of Acute Respiratory Distress Syndrome or Novel Coronavirus Pneumonia Caused by COVID-19","Not yet recruiting","No Results Available","Covid19|Novel Coronavirus Pneumonia|Acute Respiratory Distress Syndrome","Drug: MSC-exosomes delivered intravenously every other day on an escalating dose: (2:4:8)|Drug: MSC-exosomes delivered intravenously every other day on an escalating dose (8:4:8)|Drug: MSC-exosomes delivered intravenously every other day (8:8:8)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","55","December 2024","Mission Community Hospital, Panorama City, California, United States","https://ClinicalTrials.gov/show/NCT04798716"
84,"Generating Evidence in ECMO Ventilation Strategies","Recruiting","No Results Available","ARDS|Acute Respiratory Failure","Other: Standard-Lung Protective Ventilation|Other: Ultra-Lung Protective Ventilation","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","October 1, 2023","Duke University Medical Center, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT05708365"
85,"Use of UC-MSCs for COVID-19 Patients","Completed","Has Results","Corona Virus Infection|ARDS|ARDS, Human|Acute Respiratory Distress Syndrome|COVID-19","Biological: Umbilical Cord Mesenchymal Stem Cells + Heparin along with best supportive care.|Other: Vehicle + Heparin along with best supportive care","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","24","October 31, 2020","Diabetes Research Institute, University of Miami Miller School of Medicine, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT04355728"
86,"Short Term Outcomes of Children With Acute Respiratory Distress Syndrome","Completed","No Results Available","Acute Respiratory Distress Syndrome",,"All","0 Years to 18 Years   (Child, Adult)",,,"August 2005","Columbus Children's Hospital, Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT00142376"
87,"Stellate Ganglion Blockade in COVID-19 Positive Patients","Completed","No Results Available","COVID 19|ARDS","Procedure: Stellate Ganglion Block","All","19 Years to 85 Years   (Adult, Older Adult)","Not Applicable","1","November 1, 2021","University of Nebraska Medical Center, Omaha, Nebraska, United States","https://ClinicalTrials.gov/show/NCT04445337"
88,"Randomized Controlled Trial of Surfactant Administration by Laryngeal Mask Airway (LMA)","Terminated","No Results Available","Respiratory Distress Syndrome, Newborn","Device: Surfactant administered via Laryngeal Mask Airway (LMA)|Other: standard of care (nasal CPAP and supplemental oxygen)","All","up to 72 Hours   (Child)","Not Applicable","380","December 2009","University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT00599651"
89,"Effects of Volume Guarantee With Pressure Supported vs. Synchronized Intermittent Mandatory Ventilation in VLBW Infants","Suspended","No Results Available","Respiratory Distress Syndrome","Procedure: PSV+VG mode versus SIMV+VG mode","All","72 Hours to 120 Hours   (Child)",,"16","September 2007","Children's Hospitals and Clinics of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00295230"
90,"Mesenchymal Stromal Cells for the Treatment of SARS-CoV-2 Induced Acute Respiratory Failure (COVID-19 Disease)","Completed","No Results Available","Sars-CoV2|Acute Respiratory Distress Syndrome|COVID-19","Biological: Mesenchymal Stromal Cells|Other: Supportive Care","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","28","January 11, 2023","Houston Methodist Hospital, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04345601"
91,"Amphetamine Induced Adult Respiratory Distress Syndrome","Completed","No Results Available","Burns|Acute Lung Injury|Acute Respiratory Distress Syndrome|Methamphetamine Abuse","Other: Difference in development of Acute Lung Injury in Amphetamine positive and negative patients","All","18 Years and older   (Adult, Older Adult)",,"49","January 1, 2020","Arrowhead Regional Medical Center, Colton, California, United States","https://ClinicalTrials.gov/show/NCT05611385"
92,"MultiStem Administration for COVID-19 Induced ARDS (MACoVIA)","Recruiting","No Results Available","ARDS","Biological: MultiStem|Biological: Placebo","All","18 Years to 89 Years   (Adult, Older Adult)","Phase 2|Phase 3","400","December 2023","Athersys Investigational Site 107, Chicago, Illinois, United States|Athersys Investigational Site 103, Akron, Ohio, United States|Athersys Investigational Site 101, Cleveland, Ohio, United States|Athersys Investigational Site 102, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT04367077"
93,"Prevention of COVID-19 Infection to Severe Pneumonia or ARDS","Unknown status","No Results Available","Covid19 Pneumonia","Drug: EC-18|Drug: Placebo","All","18 Years and older   (Adult, Older Adult)","Phase 2","60","November 2021","Lincoln Medical Center, Bronx, New York, United States|Kent County Memorial Hospital, Warwick, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT04569227"
94,"Study of Energy Requirements in Critically Ill Newborns","Unknown status","No Results Available","Respiratory Distress Syndrome",,"All","24 Hours to 120 Hours   (Child)",,"60",,"Indiana University, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT00006274"
95,"A Phase II Study in Patients With Moderate to Severe ARDS Due to COVID-19","Recruiting","No Results Available","Covid19","Biological: hMSC","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","December 31, 2022","Providence Medical Foundation, Fullerton, California, United States|Providence Saint John's Health Center - Saint John's Cancer Institute, Santa Monica, California, United States","https://ClinicalTrials.gov/show/NCT04780685"
96,"Iloprost Effects on Gas Exchange and Pulmonary Mechanics","Completed","No Results Available","Acute Respiratory Distress Syndrome|Acute Lung Injury|Pulmonary Hypertension","Drug: Iloprost","All","18 Years and older   (Adult, Older Adult)","Phase 1","20","July 2012","OU Medical Center, Oklahoma City, Oklahoma, United States","https://ClinicalTrials.gov/show/NCT01274481"
97,"Airway Pressure Release Ventilation (APRV) Compared to ARDSnet Ventilation","Withdrawn","No Results Available","Acute Lung Injury|Adult Respiratory Distress Syndrome|Kidney Injury","Device: Volume-Cycled Assist-Control (AC) mode|Device: Airway Pressure Release Ventilation (APRV) mode","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","0","November 2, 2020","James A. Tumlin, MD, Chattanooga, Tennessee, United States","https://ClinicalTrials.gov/show/NCT00793013"
98,"Efficacy, Safety, Tolerability, and Biomarkers of MN-166 (Ibudilast) in Patients Hospitalized With COVID-19 and at Risk for ARDS","Active, not recruiting","No Results Available","Pneumonia, Viral","Drug: Ibudilast|Drug: Placebo","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","40","December 1, 2023","Denver Health and Hospital Authority, Denver, Colorado, United States|Yale University School of Medicine, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT04429555"
99,"Comparative Effectiveness Study of Bubble CPAP Devices in the NICU","Completed","Has Results","Respiratory Distress Syndrome","Device: Bubble CPAP- BabiPlus, Respiralogics|Device: Bubble CPAP- B&B Bubbler, B&B Medical devices","All","1 Day to 100 Days   (Child)","Not Applicable","43","August 2016","Cardinal Glennon Children's Hospital, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT02392806"
100,"Electrical Activity of Diaphragm as a Means to Predict Extubation Success in Preterm Infants","Completed","No Results Available","Respiratory Distress Syndrome",,"All","1 Hour to 28 Days   (Child)",,"21","October 2015","Dartmouth Hitchcock Medcial Center, Lebanon, New Hampshire, United States","https://ClinicalTrials.gov/show/NCT02144363"
101,"Comparing Weaning of Nasal Continuous Positive Airway Pressure (CPAP) From Preterm Infants","Completed","No Results Available","Respiratory Distress Syndrome","Other: Gradual pressure wean","All","26 Weeks to 32 Weeks   (Child)","Not Applicable","70","December 2015","Maimonides medcial center, Brooklyn, New York, United States","https://ClinicalTrials.gov/show/NCT02126501"
102,"Comparing Bubble and Ventilator Nasal CPAP in Preterm Infants","Completed","No Results Available","Respiratory Distress Syndrome",,"All","2 Days to 3 Months   (Child)",,"18","October 2014","Maimonides Medical Center, Brooklyn, New York, United States","https://ClinicalTrials.gov/show/NCT02003846"
103,"Verification of Pulse Oximetry in Neonatal Population","Completed","No Results Available","Respiratory Distress Syndrome",,"All","1 Day to 30 Days   (Child)",,"25","September 2009","Children's Hospitals and Clinics of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00751439"
104,"Premedication for Less Invasive Surfactant Administration Study (PRELISA)","Recruiting","No Results Available","Respiratory Distress Syndrome, Newborn","Drug: IV Atropine and Fentanyl Premedication Arm|Drug: IV Normal Saline Placebo Arm","All","0 Hours to 72 Hours   (Child)","Phase 4","58","May 2023","Parkland Health and Hospital System, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT05065424"
105,"Safety Study of Inhaled Carbon Monoxide to Treat Acute Respiratory Distress Syndrome (ARDS)","Completed","No Results Available","Acute Respiratory Distress Syndrome (ARDS)","Drug: Inhaled Carbon Monoxide at 100ppm (4 participants)|Drug: Placebo for Inhaled Carbon Monoxide at 100ppm (2 participants)|Drug: Inhaled Carbon Monoxide at 200ppm (4 participants)|Drug: Placebo for Inhaled Carbon Monoxide at 200ppm (2 participants)","All","18 Years and older   (Adult, Older Adult)","Phase 1","12","August 2019","Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Weill Cornell Medical College/NewYork-Presbyterian, New York, New York, United States|Duke Univesity Hospital, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT02425579"
